time,fdepan,fbelakang
34.81088,-5.5405216,4.7675257
34.816,-6.3607378,5.9444466
34.82112,-4.9247556,4.9340959
34.82624,-2.2421012,2.6897447
34.83136,0.91739017,-0.13760339
34.83648,4.1196289,-3.008769
34.8416,6.3562346,-4.9875627
34.84672,6.547071,-5.1787472
34.85184,4.7263622,-3.7984402
34.85696,2.0119019,-1.4249703
34.86208,-1.1846118,1.3827499
34.8672,-4.4042802,4.0906339
34.87232,-6.269136,5.5834026
34.87744,-5.8905163,5.1486216
34.88256,-3.6775744,3.212585
34.88768,-0.76337171,0.55085248
34.8928,2.2569361,-2.3331506
34.89792,4.8831029,-4.6922979
34.90304,6.007894,-5.5648298
34.90816,5.1799173,-4.8131409
34.91328,2.964304,-2.9263325
34.9184,0.084197409,-0.23404451
34.92352,-3.1369979,2.7896869
34.92864,-5.7331395,5.0852823
34.93376,-6.375114,5.5938001
34.93888,-4.8823895,4.3233023
34.944,-2.1737816,1.9429359
34.94912,1.0012311,-1.0716711
34.95424,4.0014377,-3.9789093
34.95936,5.9301596,-5.6231828
34.96448,5.9614568,-5.3844671
34.9696,4.2364211,-3.6751568
34.97472,1.5392631,-1.0691248
34.97984,-1.6564872,2.0795875
34.98496,-4.4883757,4.9832182
34.99008,-5.7216892,6.1773272
34.9952,-4.8588533,5.2769976
35.00032,-2.6144872,3.1393788
35.00544,0.15328027,0.40709263
35.01056,3.065829,-2.5604079
35.01568,5.2589235,-4.893137
35.0208,5.7771087,-5.608223
35.02592,4.5787821,-4.6533604
35.03104,2.174113,-2.7077751
35.03616,-0.9272368,-0.034902621
35.04128,-4.220314,3.0464389
35.0464,-6.3885999,5.1857553
35.05152,-6.3370738,5.1683555
35.05664,-4.424509,3.5955908
35.06176,-1.5900761,1.2822772
35.06688,1.6059288,-1.4630587
35.072,4.5175872,-4.0798063
35.07712,6.0963149,-5.346909
35.08224,5.8409753,-4.775795
35.08736,4.0787897,-3.0645754
35.09248,1.3158571,-0.57185364
35.0976,-2.13994,2.6644938
35.10272,-5.1309862,5.5870099
35.10784,-6.1378403,6.4080853
35.11296,-4.9312439,4.9841733
35.11808,-2.4450243,2.5090635
35.1232,0.55620003,-0.35456938
35.12832,3.5209107,-3.3894408
35.13344,5.3839855,-5.4550209
35.13856,5.4066315,-5.5462632
35.14368,4.0371876,-4.110044
35.1488,1.7521096,-2.0397956
35.15392,-1.3157802,0.6424132
35.15904,-4.5299783,3.7475202
35.16416,-6.3115015,5.7219639
35.16928,-5.9122715,5.2827268
35.1744,-3.9112856,3.3344891
35.17952,-1.0479728,0.85662073
35.18464,2.2599895,-1.9363523
35.18976,4.9689794,-4.566256
35.19488,5.892374,-5.6563907
35.2,5.0252123,-4.781312
35.20512,3.0504348,-2.8290427
35.21024,0.20620564,-0.22852753
35.21536,-3.1345806,2.9509525
35.22048,-5.6813593,5.6758118
35.2256,-5.9714308,6.2550955
35.23072,-4.3765454,4.6996241
35.23584,-1.8020319,2.1997941
35.24096,1.3405386,-0.68760425
35.24608,4.4291658,-3.6170163
35.2512,6.0954242,-5.472208
35.25632,5.6601896,-5.3749185
35.26144,3.8043668,-3.7218392
35.26656,1.204154,-1.372559
35.27168,-2.1887941,1.4230664
35.2768,-5.3723311,4.2242088
35.28192,-6.7230725,5.6076984
35.28704,-5.819016,4.7349539
35.29216,-3.5598919,2.5051379
35.29728,-0.61502802,-0.12137073
35.3024,2.7223232,-2.8355145
35.30752,5.3306785,-5.0158901
35.31264,6.0712519,-5.6111937
35.31776,5.0229225,-4.4315143
35.32288,2.879318,-2.237134
35.328,-0.12216061,0.5769521
35.33312,-3.5472965,3.6381352
35.33824,-5.7582026,6.0518155
35.34336,-5.6975164,6.283741
35.34848,-3.870574,4.3880205
35.3536,-1.1869018,1.6065061
35.35872,1.9800959,-1.4906436
35.36384,4.8893366,-4.3149147
35.36896,6.1748123,-5.9264045
